,Chain,Date,tvl
0,Ethereum,1534377600,5576.441690237985
1,Ethereum,1534464000,8660.109289583454
2,Ethereum,1534550400,8029.681229443993
3,Ethereum,1534636800,7689.980711637572
4,Ethereum,1534723200,7818.098047069288
5,Ethereum,1534809600,7434.253899849993
6,Ethereum,1534896000,7379.444303857142
7,Ethereum,1534982400,7241.837454814524
8,Ethereum,1535068800,5397.258530065582
9,Ethereum,1535155200,7680.905252839911
10,Ethereum,1535241600,7550.430226177221
11,Ethereum,1535328000,7503.110020590152
12,Ethereum,1535414400,7374.553842089764
13,Ethereum,1535500800,8095.7662565029295
14,Ethereum,1535587200,8078.367776071673
15,Ethereum,1535673600,7850.821109176228
16,Ethereum,1535760000,7271.250410684807
17,Ethereum,1535846400,7353.45145415357
18,Ethereum,1535932800,7910.99682603605
19,Ethereum,1536019200,7949.035716797681
20,Ethereum,1536105600,7348.4719769175945
21,Ethereum,1536192000,5740.85629479619
22,Ethereum,1536278400,5047.322724346226
23,Ethereum,1536364800,4709.193230287598
24,Ethereum,1536451200,4137.0482552556705
25,Ethereum,1536537600,3948.46379906814
26,Ethereum,1536624000,3901.1012593418172
27,Ethereum,1536710400,2579.0985301675955
28,Ethereum,1536796800,2579.0985301675955
29,Ethereum,1536883200,4468.63916316532
30,Ethereum,1536969600,3754.4266135019775
31,Ethereum,1537056000,5841.501898307969
32,Ethereum,1537142400,6315.180742784755
33,Ethereum,1537228800,5170.734932970809
34,Ethereum,1537315200,5193.536512736625
35,Ethereum,1537401600,5720.904786839441
36,Ethereum,1537488000,8402.253951639092
37,Ethereum,1537574400,9191.424219141416
38,Ethereum,1537660800,6101.861482322644
39,Ethereum,1537747200,9142.454690983117
40,Ethereum,1537833600,8386.371928436953
41,Ethereum,1537920000,7624.782399667829
42,Ethereum,1538006400,7552.198597709745
43,Ethereum,1538092800,8256.744877939473
44,Ethereum,1538179200,8256.744877939473
45,Ethereum,1538265600,5976.628035662603
46,Ethereum,1538352000,5976.628035662603
47,Ethereum,1538438400,8366.032352054313
48,Ethereum,1538524800,9000.541898731739
49,Ethereum,1538611200,7536.566884599425
50,Ethereum,1538697600,230699.4401238166
51,Ethereum,1538784000,229544.43892949927
52,Ethereum,1538870400,229934.3692745638
53,Ethereum,1538956800,230332.43783953684
54,Ethereum,1539043200,230147.5310076973
55,Ethereum,1539129600,229541.54533417203
56,Ethereum,1539216000,229408.1431281629
57,Ethereum,1539302400,229817.67446088456
58,Ethereum,1539388800,230663.6647393905
59,Ethereum,1539475200,224766.48615740187
60,Ethereum,1539561600,233406.99335860036
61,Ethereum,1539648000,237259.67652729942
62,Ethereum,1539734400,237045.60748717116
63,Ethereum,1539820800,236683.81736110663
64,Ethereum,1539907200,233103.55700903828
65,Ethereum,1539993600,232572.28705906757
66,Ethereum,1540080000,236811.22472913924
67,Ethereum,1540166400,227955.98677487212
68,Ethereum,1540252800,232476.84375796735
69,Ethereum,1540339200,230737.4441011705
70,Ethereum,1540425600,224050.14822976847
71,Ethereum,1540512000,230799.40752204414
72,Ethereum,1540598400,232108.91524644752
73,Ethereum,1540684800,229514.17094561172
74,Ethereum,1540771200,231013.73880723395
75,Ethereum,1540857600,227974.63267612582
76,Ethereum,1540944000,230999.72527753212
77,Ethereum,1541030400,230331.45205891598
78,Ethereum,1541116800,232353.75670784677
79,Ethereum,1541203200,268964.55461255653
80,Ethereum,1541289600,274188.1790083215
81,Ethereum,1541376000,269703.8626560493
82,Ethereum,1541462400,275073.6273305746
83,Ethereum,1541548800,387347.7865779961
84,Ethereum,1541635200,415545.5945258286
85,Ethereum,1541721600,409605.67987300723
86,Ethereum,1541808000,407747.5929644997
87,Ethereum,1541894400,422661.17212248396
88,Ethereum,1541980800,436786.94386413903
89,Ethereum,1542067200,438306.4874798344
90,Ethereum,1542153600,434878.81875099125
91,Ethereum,1542240000,437809.7633856855
92,Ethereum,1542326400,436310.69702140265
93,Ethereum,1542412800,438030.92546655476
94,Ethereum,1542499200,434336.60714299034
95,Ethereum,1542585600,434555.97257949633
96,Ethereum,1542672000,435178.7837841486
97,Ethereum,1542758400,406995.27210993256
98,Ethereum,1542844800,416551.6391544028
99,Ethereum,1542931200,418867.68087834993
100,Ethereum,1543017600,405389.52895535325
101,Ethereum,1543104000,390221.81079267233
102,Ethereum,1543190400,393159.0067294084
103,Ethereum,1543276800,403897.7215348083
104,Ethereum,1543363200,403060.7881254357
105,Ethereum,1543449600,431498.098687457
106,Ethereum,1543536000,429994.02764812554
107,Ethereum,1543622400,423228.94613644265
108,Ethereum,1543708800,436073.88682571676
109,Ethereum,1543795200,436644.19280398067
110,Ethereum,1543881600,439939.64372736774
111,Ethereum,1543968000,450086.0065458779
112,Ethereum,1544054400,432194.52848075924
113,Ethereum,1544140800,419994.94505203434
114,Ethereum,1544227200,426791.9356711844
115,Ethereum,1544313600,492485.38477760466
116,Ethereum,1544400000,522457.6546315042
117,Ethereum,1544486400,522890.07328542694
118,Ethereum,1544572800,516384.26803687564
119,Ethereum,1544659200,529096.5960931866
120,Ethereum,1544745600,527801.9575889067
121,Ethereum,1544832000,511493.1882671898
122,Ethereum,1544918400,504992.578439683
123,Ethereum,1545004800,531424.6638083155
124,Ethereum,1545091200,580282.1295610744
125,Ethereum,1545177600,607974.944391748
126,Ethereum,1545264000,602547.1284082608
127,Ethereum,1545350400,646421.7831479356
